ts	conn_count_uid_in	ssh_count_uid_in
1614855000000	9889.0	254.0
1614861600000	88.0	5.0
1614862200000	27036.0	1765.0
1614862800000	17327.0	725.0
1614863400000	12436.0	298.0
1614864000000	20467.0	1666.0
1614864600000	24675.0	2518.0
1614865200000	23927.0	2397.0
1614865800000	22374.0	1848.0
1614866400000	12893.0	624.0
1614867000000	10969.0	439.0
1614867600000	10201.0	285.0
1614868200000	9883.0	377.0
1614868800000	9780.0	275.0
1614869400000	10995.0	315.0
1614870000000	21104.0	1631.0
1614870600000	21944.0	2093.0
1614871200000	22857.0	2196.0
1614871800000	19087.0	1848.0
1614872400000	22847.0	2322.0
1614873000000	16480.0	1257.0
1614873600000	10850.0	478.0
1614874200000	15970.0	1278.0
1614874800000	10453.0	254.0
1614875400000	9881.0	299.0
1614876000000	10570.0	240.0
1614876600000	10747.0	193.0
1614877200000	12083.0	233.0
1614877800000	10116.0	218.0
1614878400000	10164.0	258.0
1614879000000	9529.0	220.0
1614879600000	14463.0	191.0
1614880200000	10797.0	265.0
1614880800000	2.0	
1614881400000	7174.0	320.0
1614882000000	9738.0	312.0
1614882600000	9934.0	248.0
1614883200000	10858.0	332.0
1614883800000	14620.0	331.0
1614884400000	15238.0	232.0
1614885000000	10905.0	288.0
1614885600000	9027.0	424.0
1614886200000	10451.0	276.0
1614886800000	10448.0	411.0
1614887400000	14144.0	362.0
1614888000000	19036.0	3935.0
1614888600000	12249.0	957.0
1614889200000	10788.0	372.0
1614889800000	10735.0	426.0
1614890400000	10790.0	298.0
1614891000000	9956.0	331.0
1614891600000	9936.0	292.0
1614892200000	11081.0	475.0
1614892800000	20318.0	1937.0
1614893400000	21041.0	2136.0
1614894000000	21405.0	2087.0
1614894600000	18430.0	1882.0
1614895200000	12748.0	510.0
1614895800000	11885.0	653.0
1614896400000	11311.0	313.0
1614897000000	11265.0	391.0
1614897600000	17584.0	4732.0
1614898200000	13419.0	293.0
1614898800000	11970.0	322.0
1614899400000	11978.0	359.0
1614900000000	10767.0	230.0
1614900600000	12643.0	251.0
1614901200000	13820.0	414.0
1614901800000	13100.0	269.0
1614902400000	10904.0	298.0
1614903000000	14249.0	312.0
1614903600000	12056.0	387.0
1614904200000	13920.0	294.0
1614904800000	11854.0	351.0
1614905400000	19933.0	279.0
1614906000000	14166.0	308.0
1614906600000	14750.0	251.0
1614907200000	12318.0	441.0
1614907800000	11937.0	506.0
1614908400000	10651.0	563.0
1614909000000	13617.0	497.0
1614909600000	11081.0	686.0
1614910200000	12609.0	570.0
1614910800000	10280.0	420.0
1614911400000	10395.0	471.0
1614912000000	10885.0	497.0
1614912600000	10889.0	516.0
1614913200000	10694.0	350.0
1614913800000	9839.0	226.0
1614914400000	9068.0	313.0
1614915000000	10375.0	354.0
1614915600000	9797.0	248.0
1614916200000	10207.0	299.0
1614916800000	10770.0	301.0
1614917400000	12520.0	308.0
1614918000000	11010.0	264.0
1614918600000	10127.0	256.0
1614919200000	11241.0	335.0
1614919800000	13324.0	409.0
1614920400000	22402.0	1856.0
1614921000000	21670.0	2045.0
1614921600000	19967.0	1969.0
1614922200000	18072.0	1329.0
1614922800000	11664.0	500.0
1614923400000	12541.0	322.0
1614924000000	12149.0	427.0
1614924600000	22216.0	1770.0
1614925200000	27924.0	2657.0
1614925800000	34221.0	4108.0
1614926400000	33722.0	3867.0
1614927000000	32808.0	2363.0
1614927600000	19397.0	1514.0
1614928200000	14743.0	949.0
1614928800000	12828.0	891.0
1614929400000	12849.0	957.0
1614930000000	12858.0	792.0
1614930600000	13314.0	452.0
1614931200000	13867.0	2205.0
1614931800000	16268.0	2552.0
1614932400000	26887.0	4218.0
1614933000000	40359.0	5839.0
1614933600000	48407.0	6345.0
1614934200000	43375.0	5517.0
1614934800000	44649.0	4973.0
1614935400000	31732.0	3728.0
1614936000000	26940.0	2585.0
1614936600000	16955.0	1172.0
1614937200000	11937.0	449.0
1614937800000	13395.0	461.0
1614938400000	13798.0	416.0
1614939000000	14835.0	392.0
1614939600000	12624.0	519.0
1614940200000	13734.0	458.0
1614940800000	13142.0	386.0
1614941400000	14515.0	304.0
1614942000000	13429.0	364.0
1614942600000	13950.0	407.0
1614943200000	13927.0	354.0
1614943800000	13575.0	314.0
1614944400000	12138.0	251.0
1614945000000	14442.0	367.0
1614945600000	13209.0	310.0
1614946200000	12025.0	282.0
1614946800000	13225.0	274.0
1614947400000	13582.0	447.0
1614948000000	12998.0	279.0
1614948600000	20556.0	281.0
1614949200000	14808.0	243.0
1614949800000	22406.0	1416.0
1614950400000	27159.0	2819.0
1614951000000	25974.0	2323.0
1614951600000	23151.0	1670.0
1614952200000	20373.0	650.0
1614952800000	17079.0	315.0
1614953400000	19261.0	259.0
1614954000000	22868.0	1417.0
1614954600000	32303.0	2893.0
1614955200000	31611.0	2691.0
1614955800000	27697.0	1949.0
1614956400000	26662.0	2032.0
1614957000000	25257.0	1269.0
1614957600000	17118.0	597.0
1614958200000	16469.0	355.0
1614958800000	16363.0	350.0
1614959400000	17362.0	282.0
1614960000000	16190.0	369.0
1614960600000	16124.0	317.0
1614961200000	16159.0	363.0
1614961800000	15673.0	346.0
1614962400000	15141.0	390.0
1614963000000	19454.0	353.0
1614963600000	16360.0	251.0
1614964200000	15345.0	284.0
1614964800000	17259.0	355.0
1614965400000	15057.0	328.0
1614966000000	13807.0	222.0
1614966600000	14466.0	286.0
1614967200000	13521.0	315.0
1614967800000	16651.0	2375.0
1614968400000	15784.0	2796.0
1614969000000	14753.0	475.0
