"Top values of _index","ts per 10 minutes","Sum of conn_count_uid_in"
"mods-10m","00:00","11,579"
"mods-10m","00:10","12,162"
"mods-10m","00:20","14,555"
"mods-10m","00:30","11,335"
"mods-10m","00:40","12,416"
"mods-10m","00:50","19,270"
"mods-10m","01:00","14,127"
"mods-10m","01:10","12,697"
"mods-10m","01:20","11,569"
"mods-10m","01:30","12,386"
"mods-10m","01:40","12,533"
"mods-10m","01:50","15,605"
"mods-10m","02:00","12,548"
"mods-10m","02:10","11,886"
"mods-10m","02:20","12,811"
"mods-10m","02:30","12,260"
"mods-10m","02:40","11,785"
"mods-10m","02:50","12,119"
"mods-10m","03:00","12,278"
"mods-10m","03:10","12,008"
"mods-10m","03:20","12,980"
"mods-10m","03:30","11,507"
"mods-10m","03:40","12,075"
"mods-10m","03:50","12,727"
"mods-10m","04:00","12,395"
"mods-10m","04:10","11,476"
"mods-10m","04:20","11,047"
"mods-10m","04:30","11,892"
"mods-10m","04:40","12,343"
"mods-10m","04:50","13,376"
"mods-10m","05:00","12,039"
"mods-10m","05:10","11,884"
"mods-10m","05:20","12,385"
"mods-10m","05:30","11,479"
"mods-10m","05:40","12,138"
"mods-10m","05:50","12,816"
"mods-10m","06:00","11,712"
"mods-10m","06:10","12,086"
"mods-10m","06:20","11,509"
"mods-10m","06:30","11,955"
"mods-10m","06:40","26,188"
"mods-10m","06:50","63,675"
"mods-10m","07:00","16,101"
"mods-10m","07:10","14,213"
"mods-10m","07:20","14,735"
"mods-10m","07:30","13,641"
"mods-10m","07:40","15,115"
"mods-10m","07:50","17,019"
"mods-10m","08:00","15,301"
"mods-10m","08:10","15,836"
"mods-10m","08:20","14,824"
"mods-10m","08:30","15,098"
"mods-10m","08:40","15,725"
"mods-10m","08:50","14,658"
"mods-10m","09:00","14,825"
"mods-10m","09:10","15,182"
"mods-10m","09:20","15,372"
"mods-10m","09:30","15,367"
"mods-10m","09:40","15,351"
"mods-10m","09:50","16,227"
"mods-10m","10:00","15,455"
"mods-10m","10:10","72,655"
"mods-10m","10:20","79,333"
"mods-10m","10:30","79,680"
"mods-10m","10:40","79,657"
"mods-10m","10:50","80,463"
"mods-10m","11:00","79,311"
"mods-10m-pred","00:00","10,762"
"mods-10m-pred","00:10","12,305"
"mods-10m-pred","00:20","11,177"
"mods-10m-pred","00:30","13,345"
"mods-10m-pred","00:40","10,810"
"mods-10m-pred","00:50","15,366"
"mods-10m-pred","01:00","11,219"
"mods-10m-pred","01:10","11,901"
"mods-10m-pred","01:20","11,810"
"mods-10m-pred","01:30","12,933"
"mods-10m-pred","01:40","10,815"
"mods-10m-pred","01:50","11,437"
"mods-10m-pred","02:00","10,581"
"mods-10m-pred","02:10","11,286"
"mods-10m-pred","02:20","9,733"
"mods-10m-pred","02:30","10,824"
"mods-10m-pred","02:40","10,023"
"mods-10m-pred","02:50","10,925"
"mods-10m-pred","03:00","9,929"
"mods-10m-pred","03:10","12,595"
"mods-10m-pred","03:20","9,955"
"mods-10m-pred","03:30","11,133"
"mods-10m-pred","03:40","10,456"
"mods-10m-pred","03:50","12,210"
"mods-10m-pred","04:00","10,736"
"mods-10m-pred","04:10","12,771"
"mods-10m-pred","04:20","10,849"
"mods-10m-pred","04:30","11,361"
"mods-10m-pred","04:40","11,157"
"mods-10m-pred","04:50","11,408"
"mods-10m-pred","05:00","12,107"
"mods-10m-pred","05:10","11,231"
"mods-10m-pred","05:20","10,883"
"mods-10m-pred","05:30","11,889"
"mods-10m-pred","05:40","10,345"
"mods-10m-pred","05:50","12,626"
"mods-10m-pred","06:00","10,825"
"mods-10m-pred","06:10","12,962"
"mods-10m-pred","06:20","9,891"
"mods-10m-pred","06:30","10,712"
"mods-10m-pred","06:40","10,422"
"mods-10m-pred","06:50","17,301"
"mods-10m-pred","07:00","14,180"
"mods-10m-pred","07:10","11,044"
"mods-10m-pred","07:20","12,565"
"mods-10m-pred","07:30","11,200"
"mods-10m-pred","07:40","14,059"
"mods-10m-pred","07:50","13,662"
"mods-10m-pred","08:00","14,754"
"mods-10m-pred","08:10","15,121"
"mods-10m-pred","08:20","16,044"
"mods-10m-pred","08:30","13,736"
"mods-10m-pred","08:40","13,307"
"mods-10m-pred","08:50","15,391"
"mods-10m-pred","09:00","12,561"
"mods-10m-pred","09:10","14,424"
"mods-10m-pred","09:20","12,356"
"mods-10m-pred","09:30","13,198"
"mods-10m-pred","09:40","15,890"
"mods-10m-pred","09:50","12,711"
"mods-10m-pred","10:00","13,283"
"mods-10m-pred","10:10","14,267"
"mods-10m-pred","10:20","16,289"
"mods-10m-pred","10:30","16,969"
"mods-10m-pred","10:40","16,491"
"mods-10m-pred","10:50","18,100"
"mods-10m-pred","11:00","17,997"
"mods-10m-pred","11:10","19,487"
