conn_count_uid_in	conn_count_uid_out	dns_count_uid_out	http_count_uid_in	ssl_count_uid_in
14263	2481	602	1734	520
13306	3052	1135	999	537
13001	2299	574	1122	528
13192	2124	454	868	437
11424	2414	641	628	286
14923	1796	181	2319	336
26859	2872	1275	1252	299
25819	3581	1792	685	450
20175	3130	1501	670	543
13340	2403	839	599	267
14958	2421	687	816	601
21519	4210	940	8619	780
15822	6659	435	3598	726
12970	4708	971	582	360
10523	2240	458	541	351
13010	2247	566	644	337
17563	2649	973	775	297
21264	2438	731	2323	326
17586	2375	751	1105	257
15918	2644	1090	670	358
11137	1867	273	747	350
11468	2076	382	620	297
11199	1986	342	564	289
12400	1964	257	921	355
11844	1808	167	723	295
14902	2729	930	477	383
12302	1952	300	608	368
11583	2308	508	534	297
11262	1982	356	735	304
13874	2012	366	895	368
13345	2179	484	729	400
12801	2474	719	632	360
11525	1924	344	577	428
12111	2575	533	861	316
10335	1940	356	597	241
13234	2059	390	1909	376
18644	1836	192	957	232
18482	2739	1252	1024	335
20603	1943	352	1597	353
19770	1976	355	580	243
16089	1997	503	651	260
12302	1734	121	2314	355
11776	1851	136	1141	189
12601	2347	560	709	344
11610	2107	384	814	308
10768	1605	171	602	247
12621	1970	248	825	269
18435	3063	322	8852	271
13437	1946	124	3832	223
12745	2152	480	733	301
25122	2312	847	627	316
22700	2008	655	580	250
24500	1724	395	616	236
23958	1817	271	2205	302
19880	2014	275	1090	229
12484	2186	532	512	304
24382	2021	315	617	307
26466	1746	475	642	235
25855	1799	336	687	321
20263	1775	271	948	304
11664	1832	144	809	343
10103	2050	414	549	306
9740	1314	128	638	317
10528	1522	92	531	239
10058	1733	175	691	220
11002	1794	148	616	327
10810	1338	120	393	233
10004	1713	461	441	293
10085	1878	185	499	343
10298	1627	68	519	294
9058	1449	120	574	360
10999	1545	222	1862	294
10788	1841	86	1239	307
9819	1571	416	455	311
10563	1626	108	570	324
12090	1411	94	489	255
10100	1469	62	431	227
12396	1481	95	2093	279
11375	1504	94	1078	235
10072	2309	441	562	339
9626	1235	136	560	334
10504	1516	180	356	263
12318	1693	135	770	236
18831	2605	204	8712	280
13032	1437	81	3439	224
10790	1891	435	657	290
9561	1215	77	505	324
10606	1349	137	553	257
11161	1663	150	473	244
12283	1323	83	2277	271
12643	1493	199	937	245
13091	2066	774	513	319
31495	3015	1711	724	323
21673	1417	252	528	263
20534	1430	234	438	246
20713	1694	267	815	307
16110	1471	212	497	235
11915	1527	411	447	342
10345	1669	120	495	342
10853	1429	207	471	258
10091	1362	167	516	275
10366	1696	150	542	306
9800	1183	263	545	241
9955	2039	396	579	315
10343	1493	262	574	371
10791	1487	216	511	285
10244	1669	63	448	233
12266	950	117	2050	332
11393	1685	129	962	263
10162	1308	474	459	324
9972	1666	233	542	458
9529	1535	133	483	336
10346	1104	185	550	253
12455	1767	222	1635	299
14742	1318	530	1650	240
13484	2980	1066	542	349
11621	1621	380	660	316
11514	1712	504	511	260
13274	1695	420	850	230
20894	2763	483	9457	291
25720	2302	372	3870	239
22515	2448	1837	578	336
15740	1941	377	705	321
17417	1161	387	766	240
17239	2235	555	698	231
13480	1069	260	2344	289
13191	1916	312	1247	239
15798	1867	1056	938	326
13401	2121	561	593	333
12019	1451	465	541	240
12599	1724	346	730	268
12742	1691	566	1001	345
12678	2397	1151	964	204
14441	3111	1959	875	342
12188	1616	428	786	382
12139	1679	429	748	350
12519	1533	352	670	287
11294	1649	429	598	357
12724	1678	524	645	301
11635	2282	1174	956	359
12799	1926	771	630	357
11059	1607	511	602	305
10803	1362	299	810	231
13519	1881	363	2026	266
13970	1336	498	1328	253
12108	2699	1075	1114	382
12583	1189	276	952	378
11887	1886	267	1020	337
11734	1018	244	742	389
13556	1784	217	2479	340
12827	1055	193	1514	296
11420	2094	540	875	374
11328	1620	332	951	352
10677	1199	364	919	336
22160	2225	708	1027	283
34615	3142	1252	8980	315
37574	2643	1067	3790	284
29429	1992	1370	711	374
20455	1247	403	946	466
13041	1819	290	896	344
10648	911	177	891	276
11943	1751	165	2319	331
11696	935	177	1026	305
11590	1410	600	680	374
11528	1775	223	789	409
10256	920	118	756	319
11003	1687	113	774	367
11546	1142	324	999	319
11177	1353	318	910	317
11057	2032	723	822	365
21835	1485	649	717	382
22866	2806	891	708	328
21961	2816	821	625	312
18361	2546	803	639	330
11973	2080	295	794	309
11729	1832	756	829	468
11796	2296	540	575	399
16198	2151	767	590	314
16755	2411	827	575	275
12487	1620	184	2319	320
12020	1598	539	1116	308
11471	2232	819	616	403
11361	1810	399	579	400
10421	1600	219	622	289
12936	1530	196	643	282
12691	1409	133	2222	300
11329	1150	124	1270	224
14267	2336	516	866	336
13506	1628	141	798	371
13826	1075	133	680	263
11441	1896	131	838	245
19561	2542	325	8807	360
14690	1681	94	3695	454
12305	1799	489	674	437
11295	1081	140	572	343
12523	1840	73	518	260
13994	990	132	566	286
12955	1314	109	2263	282
11574	1330	72	1095	226
11659	1647	474	385	314
11523	1572	274	646	358
11192	1299	288	519	253
10213	1170	146	780	228
10520	1410	130	801	277
10179	1484	227	579	230
10391	1619	522	458	310
10549	1490	250	517	342
10065	846	116	433	289
12053	1747	199	678	275
12137	906	171	429	333
20718	2561	1152	465	310
12411	1254	546	456	359
11198	867	99	437	358
11530	1507	24	446	299
13071	966	188	536	294
13321	1657	113	1944	295
12453	865	115	984	268
21329	2130	629	619	321
24542	1171	347	415	314
11813	1244	67	374	320
11235	1365	138	372	228
13804	1340	208	1980	276
12546	1269	109	989	241
12000	2114	528	427	352
11983	954	233	490	313
